Date,Harvester,Time,Seedling,Water level,N,Total tips,Colonized tips,Root mass (mg),Frozen at time,Notes
20220210,Isobel,13:12,MM062,H,Minus,NA,NA,0.38,13:19,
20220210,Isobel,13:19,MM093,M,Plus,NA,NA,0.5,13:26,
20220210,Isobel,13:27,HC098,L,Plus,44,34,0.43,13:43,
20220210,Isobel,13:44,MM021,L,Plus,NA,NA,0.52,13:50,
20220210,Isobel,13:50,HC096,H,Plus,41,36,0.4,14:08,
20220210,Isobel,14:09,MM103,M,Plus,NA,NA,0.34,14:16,
20220210,Isobel,14:20,MM032,H,Plus,NA,NA,0.49,14:26,almost entirely dead
20220210,Isobel,14:27,MM001,M,Minus,NA,NA,0.53,14:33,
20220210,Isobel,14:33,MM058,H,Plus,NA,NA,0.06,14:38,
20220210,Isobel,14:38,HC037,L,Plus,101,95,0.56,14:55,
20220210,Isobel,14:55,MM086,L,Plus,NA,NA,0.51,15:03,
20220210,Isobel,15:04,MM028,M,Minus,NA,NA,0.34,15:09,
20220210,Laura,9:55,HC103,M,Plus,28,0,0.29,10:05,not colonized
20220210,Laura,10:06,MM050,L,Plus,NA,NA,0.45,10:17,didn't refrig. shoot till 10:06
20220210,Laura,10:21,MM072,M,Plus,NA,NA,0.54,10:31,
20220210,Laura,10:34,HC025,L,Plus,43,21,0.25,10:46,
20220210,Laura,10:54,MM065,M,Minus,NA,NA,0.34,11:01,shoot almost dead
20220210,Laura,11:04,HC043,M,Minus,13,9,0.15,11:09,small root system
20220210,Laura,11:11,MM084,L,Plus,NA,NA,0.92,11:18,Nice big root system many root hairs
20220210,Laura,11:19,HC057,L,Plus,85,64,0.56,11:31,
20220210,Laura,12:54,HC086,M,Minus,54,29,0.47,1:05,
20220210,Laura,13:06,MM007,M,Minus,NA,NA,0.41,13:14,
20220210,Laura,13:16,HC036,M,Plus,125,97,0.55,13:30,
20220210,Laura,13:37,HC017,M,Minus,73,47,0.59,13:52,
20220210,Laura,13:57,MM060,M,Minus,NA,NA,0.51,14:07,
20220210,Laura,14:11,HC071,H,Minus,43,16,0.15,14:23,awful mycos v. little hyphae
20220210,Laura,14:27,MM096,M,Plus,NA,NA,0.45,14:35,
20220210,Laura,14:38,MM068,H,Minus,NA,NA,0.25,14:44,
20220210,Oceana,9:53,MM016,H,MINUS,NA,NA,0.33,9:59,
20220210,Oceana,10:00,HC047,H,MINUS,140,93,0.45,10:23,
20220210,Oceana,10:26,HC041,H,PLUS,22,7,0.17,10:34,
20220210,Oceana,10:36,MM024,H,PLUS,NA,NA,0.32,11:45,
20220210,Oceana,13:20,HC076,H,MINUS,47,20,0.46,13:36,
20220210,Oceana,13:39,HC100,H,MINUS,61,49,0.5,13:55,
20220210,Oceana,13:56,HC039,M,PLUS,107,91,0.42,14:14,
20220210,Oceana,14:18,HC031,M,MINUS,44,41,0.33,14:31,
20220210,Oceana,14:32,HC088,M,PLUS,105,97,0.47,14:50,
20220210,Oceana,14:53,HC084,H,PLUS,3,0,0.16,14:57,dead -- rot between root and shoot (not colonized at this time)
20220210,Oceana,14:58,HC013,H,PLUS,25,0,0.14,15:06,"poor condition. 1 spot of hyphae seen, no colonized tips"
20220210,Oceana,15:10,MM063,M,PLUS,NA,NA,0.42,15:18,almost dead seedling
20220210,Laura,14:46,HC032,H,Plus,83,58,0.49,14:56,
20220210,Laura,14:58,MM073,H,Minus,NA,NA,0.47,15:05,
20220210,Laura,15:09,HC029,M,Minus,58,39,0.33,,frozen time not noted.
20220214,Isobel,12:07,HC014,H,Minus,70,63,0.31,12:15,
20220214,Isobel,12:15,MM070,L,Plus,NA,NA,0.47,12:20,
20220214,Isobel,12:20,HC093,L,Plus,127,125,0.52,12:30,
20220214,Isobel,12:35,HC024,M,Minus,25,21,0.34,12:45,
20220214,Isobel,12:45,MM094,H,Plus,NA,NA,0.26,12:48,
20220214,Isobel,12:48,HC019,H,Plus,104,102,0.64,13:00,
20220214,Isobel,13:40,MM037,L,Plus,NA,NA,0.51,13:47,
20220214,Isobel,13:47,HC063,M,Plus,118,116,0.66,14:00,
20220214,Isobel,14:00,HC052,H,Plus,53,31,0.47,14:15,
20220214,Isobel,14:15,MM092,H,Plus,NA,NA,0.52,14:18,
20220214,Isobel,14:18,MM004,H,Minus,NA,NA,0.28,14:23,
20220214,Isobel,14:25,MM014,H,Minus,NA,NA,0.06,14.3,
20220214,Isobel,14:30,HC004,L,Minus,78,73,0.48,14:42,
20220214,Isobel,14:42,MM095,H,Plus,NA,NA,0.38,14:50,
20220214,Isobel,14:52,MM075,L,Plus,NA,NA,0.69,14:57,
20220214,Isobel,14:57,HC090,L,Plus,100,83,0.53,15:05,
