harvest_day,seedling,water_potential_m_pa,approximate_measurement_time,notes_WP,date,harvester,time,water_level,n,total_tips,colonized_tips,root_mass_mg,frozen_at_time,notes_COL,colonized,percent_col,minutes_in_cooler,drydown_day,corrected_phi,ID,mass (g)
2,MM077,-1.4,16:26:00,NA,20220206,Oceana,12:37:00,H,Plus,NA,NA,0.64,12:43,NA,N,0,229,3,-1.042531,MM077,0.109
2,HC097,-1.4,16:50:00,NA,20220206,Oceana,14:04:00,L,Plus,64,48,0.35,14:18,smaller root system,Y,75,166,3,-1.140874,HC097,0.067
2,HC044,-1.4,16:58:00,NA,20220206,Glade,12:22:00,H,Minus,77,72,0.75,12:41,NA,Y,93.5064935064935,276,3,-0.969164,HC044,0.113
3,MM050,-1.4,12:07:00,"12:05pm, 1350 psi",20220210,Laura,10:06:00,L,Plus,NA,NA,0.45,10:17,didn't refrig. shoot till 10:06,N,0,121,7,-1.211119,MM050,0.094
3,HC076,-1.4,16:00:00,"Not sure exactly when these measurements began, 4PM is a good guess",20220210,Oceana,13:20:00,H,Minus,47,20,0.46,13:36,NA,Y,42.5531914893617,160,7,-1.15024,HC076,0.09
3,HC039,-1.4,17:06:00,NA,20220210,Oceana,13:56:00,M,Plus,107,91,0.42,14:14,NA,Y,85.04672897196261,190,7,-1.10341,HC039,0.102
4,HC002,-1.4,12:25:00,NA,20220214,Isobel,10:50:00,H,Minus,124,123,0.52,11:00,NA,Y,99.19354838709677,95,10,-1.251705,HC002,0.068
4,MM088,-1.4,12:39:00,NA,20220214,Isobel,10:20:00,H,Minus,NA,NA,0.86,10:25,NA,N,0,139,10,-1.183021,MM088,0.119
4,MM019,-1.4,12:41:00,NA,20220214,Isobel,11:20:00,H,Plus,NA,NA,0.32,11:22,NA,N,0,81,10,-1.273559,MM019,0.065
4,MM012,-1.4,15:54:00,NA,20220214,Laura,14:59:00,H,Minus,NA,NA,0.81,15:07,NA,N,0,55,10,-1.314145,MM012,0.118
4,HC016,-1.4,16:02:00,NA,20220214,Laura,14:37:00,M,Plus,147,128,0.45,14:58,NA,Y,87.07482993197279,85,10,-1.267315,HC016,0.084
4,HC052,-1.4,16:20:00,NA,20220214,Isobel,14:00:00,H,Plus,53,31,0.47,14:15,NA,Y,58.490566037735846,140,10,-1.18146,HC052,0.102
1,HC048,-1.3,16:32:00,NA,20220204,Oceana,12:56:00,M,Plus,21,12,0.29,13:06,NA,Y,57.14285714285714,216,1,-0.962824,HC048,0.059
1,MM057,-1.3,16:58:00,NA,20220204,Oceana,15:23:00,M,Plus,NA,NA,0.43,15:32,star -- plus? med? double check seedling status.,N,0,95,1,-1.151705,MM057,0.063
2,MM008,-1.3,16:28:00,NA,20220206,Laura,14:35:00,H,Minus,NA,NA,0.78,14:42,NA,N,0,113,3,-1.123607,MM008,0.122
2,MM048,-1.3,16:32:00,NA,20220206,Glade,14:32:00,M,Minus,NA,NA,0.21,14:39,NA,N,0,120,3,-1.11268,MM048,0.046
2,HC102,-1.3,16:46:00,NA,20220206,Laura,13:36:00,H,Plus,63,32,0.48,13:47,Mycos look pretty underdeveloped,Y,50.79365079365079,190,3,-1.00341,HC102,0.084
2,HC053,-1.3,16:56:00,NA,20220206,Laura,12:12:00,H,Plus,92,71,0.87,12:35,new growth on shoot,Y,77.17391304347827,284,3,-0.856676,HC053,0.116
2,HC078,-1.3,17:12:00,NA,20220206,Laura,10:56:00,H,Minus,13,0,0.26,11:06,seedling very nearly dead,Y,0,376,3,-0.713064,HC078,0.026
3,HC041,-1.3,11:49:00,NA,20220210,Oceana,10:26:00,H,Plus,22,7,0.17,10:34,NA,Y,31.818181818181817,83,7,-1.170437,HC041,0.064
3,HC025,-1.3,12:03:00,NA,20220210,Laura,10:34:00,L,Plus,43,21,0.25,10:46,NA,Y,48.837209302325576,89,7,-1.161071,HC025,0.055
3,HC006,-1.3,16:24:00,NA,20220210,Isobel,13:00:00,H,Plus,11,1,0.32,13:12,NA,Y,9.090909090909092,204,7,-0.981556,HC006,0.057
3,MM062,-1.3,16:44:00,NA,20220210,Isobel,13:12:00,H,Minus,NA,NA,0.38,13:19,NA,N,0,212,7,-0.969068,MM062,0.067
4,HC001,-1.3,12:43:00,NA,20220214,Isobel,11:22:00,H,Minus,13,4,0.19,11:27,NA,Y,30.76923076923077,81,10,-1.173559,HC001,0.054
4,MM075,-1.3,16:32:00,NA,20220214,Isobel,14:52:00,L,Plus,NA,NA,0.69,14:57,NA,N,0,100,10,-1.1439,MM075,0.1
1,HC007,-1.2,16:36:00,NA,20220204,Laura,14:23:00,L,Plus,108,88,0.72,14:37,NA,Y,81.48148148148148,133,1,-0.992387,HC007,0.098
1,MM038,-1.2,17:10:00,NA,20220204,Isobel,15:40:00,H,Minus,NA,NA,0.41,NA,frozen time not noted.,N,0,90,1,-1.05951,MM038,0.056
2,MM039,-1.2,16:06:00,NA,20220206,Oceana,11:19:00,M,Minus,NA,NA,0.65,11:26,NA,N,0,287,3,-0.751993,MM039,0.108
2,HC023,-1.2,16:12:00,NA,20220206,Laura,14:08:00,H,Minus,31,22,0.45,14:18,NA,Y,70.96774193548387,124,3,-1.006436,HC023,0.053
2,HC095,-1.2,16:14:00,NA,20220206,Oceana,11:45:00,H,Minus,66,48,0.64,11:57,NA,Y,72.72727272727273,269,3,-0.780091,HC095,0.098
2,MM081,-1.2,16:38:00,NA,20220206,Oceana,12:00:00,M,Plus,NA,NA,0.48,12:04,NA,N,0,278,3,-0.766042,MM081,0.092
2,HC022,-1.2,17:04:00,NA,20220206,Glade,10:45:00,M,Plus,50,35,0.53,11:16,NA,Y,70,379,3,-0.608381,HC022,0.07
2,MM051,-1.2,17:08:00,NA,20220206,Oceana,10:49:00,M,Plus,NA,NA,0.33,10:55,NA,N,0,379,3,-0.608381,MM051,0.07
3,MM016,-1.2,11:47:00,NA,20220210,Oceana,09:53:00,H,Minus,NA,NA,0.33,9:59,NA,N,0,114,7,-1.022046,MM016,0.068
3,MM084,-1.2,11:59:00,NA,20220210,Laura,11:11:00,L,Plus,NA,NA,0.92,11:18,Nice big root system many root hairs,N,0,48,7,-1.125072,MM084,0.087
3,MM001,-1.2,16:12:00,NA,20220210,Isobel,14:27:00,M,Minus,NA,NA,0.53,14:33,NA,N,0,105,7,-1.036095,MM001,0.092
3,MM068,-1.2,16:16:00,NA,20220210,Laura,14:38:00,H,Minus,NA,NA,0.25,14:44,NA,N,0,98,7,-1.047022,MM068,0.041
3,HC032,-1.2,16:52:00,NA,20220210,Laura,14:46:00,H,Plus,83,58,0.49,14:56,NA,Y,69.87951807228916,126,7,-1.003314,HC032,0.059
4,HC015,-1.2,12:15:00,Began measurements at 12:15pm,20220214,Isobel,11:10:00,L,Plus,60,58,0.33,11:20,NA,Y,96.66666666666667,65,10,-1.098535,HC015,0.066
4,MM011,-1.2,12:17:00,NA,20220214,Isobel,11:27:00,M,Minus,NA,NA,0.67,11:30,"LB (transcribing) not sure if water level is ""M"" or ""H""; clarify with Isobel.",N,0,50,10,-1.12195,MM011,0.131
4,MM022,-1.2,12:31:00,NA,20220214,Isobel,10:05:00,M,Minus,NA,NA,0.45,10:10,NA,N,0,146,10,-0.972094,MM022,0.065
4,HC038,-1.2,15:52:00,NA,20220214,Laura,13:45:00,H,Minus,113,75,0.5,14:00,NA,Y,66.3716814159292,127,10,-1.001753,HC038,0.077
4,HC063,-1.2,15:56:00,NA,20220214,Isobel,13:47:00,M,Plus,118,116,0.66,14:00,NA,Y,98.30508474576271,129,10,-0.998631,HC063,0.123
4,MM004,-1.2,16:26:00,NA,20220214,Isobel,14:18:00,H,Minus,NA,NA,0.28,14:23,NA,N,0,128,10,-1.000192,MM004,0.094
1,HC068,-1.15,16:46:00,NA,20220204,Isobel,14:47:00,H,Plus,75,60,0.56,15:00,NA,Y,80,119,1,-0.964241,HC068,0.097
2,MM046,-1.15,16:48:00,NA,20220206,Oceana,13:36:00,M,Plus,NA,NA,0.5,13:41,NA,N,0,192,3,-0.850288,MM046,0.104
1,MM066,-1.1,16:18:00,NA,20220204,Isobel,12:45:00,H,Minus,NA,NA,0.64,12:55,NA,N,0,213,1,-0.767507,MM066,0.08
1,MM082,-1.1,16:34:00,NA,20220204,Isobel,12:55:00,M,Plus,NA,NA,0.45,13:00,NA,N,0,219,1,-0.758141,MM082,0.065
1,MM034,-1.1,16:38:00,NA,20220204,Laura,14:52:00,H,Minus,NA,NA,0.6,14:59,NA,N,0,106,1,-0.934534,MM034,0.081
1,HC020,-1.1,16:40:00,NA,20220204,Laura,12:53:00,H,Minus,28,23,0.52,13:05,mycos look low quality; not much hyphae,Y,82.14285714285714,227,1,-0.745653,HC020,0.079
1,HC067,-1.1,17:00:00,NA,20220204,Laura,12:00:00,M,Plus,150,124,0.46,12:25,NA,Y,82.66666666666667,300,1,-0.6317,HC067,0.08
1,MM010,-1.1,17:08:00,NA,20220204,Isobel,12:25:00,M,Plus,NA,NA,0.65,12:30,NA,N,0,283,1,-0.658237,MM010,0.11
2,MM018,-1.1,16:02:00,NA,20220206,Oceana,13:42:00,H,Plus,NA,NA,0.46,13:47,sad seedling,N,0,140,3,-0.88146,MM018,0.09
2,MM002,-1.1,16:08:00,NA,20220206,Oceana,12:44:00,H,Plus,NA,NA,0.91,12:50,NA,N,0,204,3,-0.781556,MM002,0.122
2,MM054,-1.1,16:18:00,NA,20220206,Oceana,13:53:00,L,Plus,NA,NA,0.59,14:03,NA,N,0,145,3,-0.873655,MM054,0.106
2,HC064,-1.1,16:20:00,NA,20220206,Laura,14:20:00,M,Minus,69,53,0.38,14:33,NA,Y,76.81159420289855,120,3,-0.91268,HC064,0.041
2,MM105,-1.1,16:54:00,NA,20220206,Laura,12:05:00,M,Minus,NA,NA,0.44,12:11,shoot almost completely dead,N,0,289,3,-0.648871,MM105,0.062
2,HC082,-1.1,17:06:00,NA,20220206,Oceana,11:31:00,H,Plus,76,44,0.53,11:44,NA,Y,57.89473684210527,335,3,-0.577065,HC082,0.089
3,MM072,-1.1,11:51:00,NA,20220210,Laura,10:21:00,M,Plus,NA,NA,0.54,10:31,NA,N,0,90,7,-0.95951,MM072,0.093
3,MM065,-1.1,11:53:00,NA,20220210,Laura,10:54:00,M,Minus,NA,NA,0.34,11:01,shoot almost dead,N,0,59,7,-1.007901,MM065,0.054
3,HC043,-1.1,12:01:00,NA,20220210,Laura,11:04:00,M,Minus,13,9,0.15,11:09,small root system,Y,69.23076923076923,57,7,-1.011023,HC043,0.042
3,MM103,-1.1,16:02:00,NA,20220210,Isobel,14:09:00,M,Plus,NA,NA,0.34,14:16,NA,N,0,113,7,-0.923607,MM103,0.066
3,MM060,-1.1,16:06:00,NA,20220210,Laura,13:57:00,M,Minus,NA,NA,0.51,14:07,NA,N,0,129,7,-0.898631,MM060,0.077
4,MM067,-1.1,12:23:00,NA,20220214,Isobel,11:05:00,L,Plus,NA,NA,0.38,11:10,NA,N,0,78,10,-0.978242,MM067,0.075
4,HC018,-1.1,12:29:00,NA,20220214,Isobel,10:35:00,M,Plus,45,40,0.48,10:45,NA,Y,88.88888888888889,114,10,-0.922046,HC018,0.1
4,MM095,-1.1,16:34:00,"4:35pm, 1175 psi",20220214,Isobel,14:42:00,H,Plus,NA,NA,0.38,14:50,NA,N,0,112,10,-0.925168,MM095,0.057
1,MM087,-1,16:04:00,NA,20220204,Isobel,15:15:00,M,Plus,NA,NA,0.57,15:25,NA,N,0,49,1,-0.923511,MM087,0.077
1,HC091,-1,16:10:00,NA,20220204,Oceana,15:34:00,H,Minus,86,69,0.52,NA,frozen time not noted.,Y,80.23255813953489,36,1,-0.943804,HC091,0.096
3,HC057,-1,11:57:00,NA,20220210,Laura,11:19:00,L,Plus,85,64,0.56,11:31,NA,Y,75.29411764705883,38,7,-0.940682,HC057,0.075
3,HC029,-1,16:18:00,NA,20220210,Laura,15:09:00,M,Minus,58,39,0.33,NA,frozen time not noted.,Y,67.24137931034483,69,7,-0.892291,HC029,0.058
3,MM007,-1,16:20:00,NA,20220210,Laura,13:06:00,M,Minus,NA,NA,0.41,13:14,NA,N,0,194,7,-0.697166,MM007,0.063
4,HC070,-1,15:58:00,NA,20220214,Laura,12:50:00,M,Plus,72,33,0.54,13:03,NA,Y,45.83333333333333,188,10,-0.706532,HC070,0.063
4,MM092,-1,16:22:00,NA,20220214,Isobel,14:15:00,H,Plus,NA,NA,0.52,14:18,NA,N,0,127,10,-0.801753,MM092,0.105
1,MM044,-0.9,16:08:00,NA,20220204,Oceana,15:02:00,M,Minus,NA,NA,0.56,15:08,NA,N,0,66,1,-0.796974,MM044,0.108
1,HC021,-0.9,16:12:00,NA,20220204,Laura,15:28:00,M,Minus,60,34,0.41,15:39,NA,Y,56.666666666666664,44,1,-0.831316,HC021,0.046
1,MM101,-0.9,16:20:00,NA,20220204,Laura,12:45:00,H,Plus,NA,NA,0.5,12:51 PM,no fungi,N,0,215,1,-0.564385,MM101,0.085
1,MM031,-0.9,16:26:00,NA,20220204,Oceana,15:18:00,M,Minus,NA,NA,0.33,15:22,NA,N,0,68,1,-0.793852,MM031,0.094
2,MM005,-0.9,16:00:00,NA,20220206,Glade,14:14:00,M,Plus,NA,NA,0.4,14:21,NA,N,0,106,3,-0.734534,MM005,0.079
2,HC073,-0.9,16:16:00,NA,20220206,Oceana,12:10:00,H,Plus,61,23,0.48,12:22,"lower half of roots sad, uncolonized, black tips",Y,37.704918032786885,246,3,-0.515994,HC073,0.093
2,HC080,-0.9,16:22:00,NA,20220206,Laura,13:50:00,M,Plus,105,60,0.54,14:05,NA,Y,57.14285714285714,152,3,-0.662728,HC080,0.101
2,HC065,-0.9,16:42:00,NA,20220206,Oceana,14:22:00,M,Plus,89,72,0.4,14:53,NA,Y,80.89887640449437,140,3,-0.68146,HC065,0.065
3,MM096,-0.9,16:14:00,NA,20220210,Laura,14:27:00,M,Plus,NA,NA,0.45,14:35,NA,N,0,107,7,-0.732973,MM096,0.075
3,MM063,-0.9,16:22:00,NA,20220210,Oceana,15:10:00,M,Plus,NA,NA,0.42,15:18,almost dead seedling,N,0,72,7,-0.787608,MM063,0.059
4,HC089,-0.9,12:45:00,"12:45PM, 1200 psi",20220214,Laura,11:40:00,M,Minus,66,45,0.44,11:57,NA,Y,68.18181818181817,65,10,-0.798535,HC089,0.089
4,MM035,-0.9,16:24:00,NA,20220214,Laura,14:03:00,H,Plus,NA,NA,0.61,14:11,NA,N,0,141,10,-0.679899,MM035,0.103
1,MM056,-0.8,16:02:00,NA,20220204,Oceana,14:22:00,H,Plus,NA,NA,0.34,14:30,NA,N,0,100,1,-0.6439,MM056,0.098
1,HC105,-0.8,16:50:00,NA,20220204,Oceana,11:38:00,H,Plus,68,55,0.57,11:59,NA,Y,80.88235294117648,312,1,-0.312968,HC105,0.092
2,MM049,-0.8,16:04:00,NA,20220206,Laura,12:38:00,H,Minus,NA,NA,0.75,12:42,Half dead shoot,N,0,206,3,-0.478434,MM049,0.057
3,HC084,-0.8,16:30:00,NA,20220210,Oceana,14:53:00,H,Plus,3,0,0.16,14:57,dead -- rot between root and shoot (not colonized at this time),Y,0,97,7,-0.648583,HC084,0.017
4,MM078,-0.8,12:27:00,NA,20220214,Isobel,10:45:00,H,Plus,NA,NA,0.38,10:50,NA,N,0,102,10,-0.640778,MM078,0.078
